Date,Open,High,Low,Close,Volume,Change
2018-08-20,127500,128000,126000,127500,310969,0.007905138339920903
2018-08-21,127000,127500,124000,125500,339831,-0.015686274509803977
2018-08-22,125500,127000,124500,126000,329800,0.003984063745019917
2018-08-23,125500,126000,123000,124500,229027,-0.011904761904761862
2018-08-24,123500,124500,123000,124500,232363,0.0
2018-08-27,125000,125500,123500,124000,226756,-0.004016064257028162
2018-08-28,125000,127000,124000,125000,402853,0.008064516129032251
2018-08-29,125000,125000,123500,124000,309579,-0.008000000000000007
2018-08-30,124000,125000,123000,123500,385998,-0.0040322580645161255
2018-08-31,124000,126000,123000,125000,529278,0.012145748987854255
2018-09-03,124500,126000,123500,125000,264041,0.0
2018-09-04,125500,127000,124500,126500,297393,0.01200000000000001
2018-09-05,126500,131000,126500,129000,871735,0.01976284584980248
2018-09-06,130000,136000,130000,134000,935048,0.03875968992248069
2018-09-07,136000,137000,131500,133000,793026,-0.007462686567164201
2018-09-10,131500,133500,130000,131000,320236,-0.015037593984962405
2018-09-11,130000,130500,128000,128000,514468,-0.022900763358778664
2018-09-12,128500,131000,128000,129500,340635,0.01171875
2018-09-13,130500,130500,128000,128500,411245,-0.007722007722007707
2018-09-14,129500,131000,129000,129500,259936,0.0077821011673151474
2018-09-17,129000,129500,128000,128500,305158,-0.007722007722007707
2018-09-18,128500,130000,128000,128000,368661,-0.0038910505836575737
2018-09-19,128500,129000,125500,126500,420484,-0.01171875
2018-09-20,126500,130000,126000,129000,378436,0.01976284584980248
2018-09-21,131000,131000,127500,129000,765535,0.0
2018-09-27,130000,130500,128500,130500,465760,0.011627906976744207
2018-09-28,130000,130500,128000,129500,295867,-0.007662835249042099
2018-10-01,130000,130000,128500,129000,233662,-0.0038610038610038533
2018-10-02,128500,129500,128000,128500,215297,-0.003875968992248069
2018-10-04,128500,129000,122500,124500,671140,-0.0311284046692607
2018-10-05,126000,126000,123000,124500,284015,0.0
2018-10-08,123500,124000,121500,122000,386710,-0.02008032128514059
2018-10-10,122500,123000,119500,120000,536984,-0.016393442622950838
2018-10-11,118500,120500,116000,116000,701523,-0.033333333333333326
2018-10-12,115500,118000,114500,115500,672541,-0.004310344827586188
2018-10-15,116500,117000,111500,113500,697689,-0.017316017316017285
2018-10-16,114000,117500,113500,116500,503295,0.026431718061673992
2018-10-17,117500,119500,116500,118500,385112,0.01716738197424883
2018-10-18,118000,118500,114000,116000,708181,-0.021097046413502074
2018-10-19,114500,117500,114000,115500,493067,-0.004310344827586188
2018-10-22,115000,118000,114500,118000,378176,0.02164502164502169
2018-10-23,117000,118000,114000,116500,575347,-0.012711864406779627
2018-10-24,117500,118500,116000,117000,776694,0.0042918454935623185
2018-10-25,116000,116000,102500,110000,1633392,-0.05982905982905984
2018-10-26,110000,113000,107500,108000,867074,-0.018181818181818188
2018-10-29,106000,108500,104000,106000,876545,-0.01851851851851849
2018-10-30,106500,109500,106000,107500,429587,0.014150943396226356
2018-10-31,106500,107000,103500,106500,752213,-0.009302325581395321
2018-11-01,106500,109000,104500,108500,487868,0.018779342723004744
2018-11-02,107000,110500,106500,110000,586857,0.01382488479262678
2018-11-05,107000,107500,103500,104000,921610,-0.054545454545454564
2018-11-06,105000,108500,104500,107500,775343,0.033653846153846256
2018-11-07,106500,108000,105500,107500,619311,0.0
2018-11-08,109000,109000,105500,105500,588487,-0.018604651162790753
2018-11-09,106000,110000,104500,105000,668003,-0.004739336492891044
2018-11-12,105000,105500,100500,102000,792697,-0.02857142857142858
2018-11-13,99900,102500,99600,102500,397209,0.004901960784313708
2018-11-14,103500,104500,100500,101500,637102,-0.009756097560975618
2018-11-15,101000,103500,100500,103000,449187,0.014778325123152802
2018-11-16,104000,104500,102000,103000,361507,0.0
2018-11-19,103000,103500,101000,101500,555495,-0.014563106796116498
2018-11-20,101000,101000,97100,97500,1295271,-0.039408866995073843
2018-11-21,96500,97900,95800,97800,883111,0.003076923076922977
2018-11-22,98000,98000,92500,92800,1527106,-0.05112474437627812
2018-11-23,92800,94000,92600,93700,558490,0.00969827586206895
2018-11-26,93600,95800,93500,95100,663188,0.014941302027748238
2018-11-27,95900,101500,95800,101000,1436195,0.062039957939011625
2018-11-28,100500,101500,99800,101000,602728,0.0
2018-11-29,102000,103000,99100,100000,811011,-0.00990099009900991
2018-11-30,103000,108000,102500,107000,3017114,0.07000000000000006
2018-12-03,108500,109000,106500,108500,723565,0.014018691588784993
2018-12-04,108500,108500,105500,107500,612079,-0.009216589861751112
2018-12-05,106000,108500,106000,107500,519108,0.0
2018-12-06,107500,112500,106000,110500,896541,0.027906976744185963
2018-12-07,110000,112000,109500,111000,566780,0.004524886877828038
2018-12-10,108500,111000,108500,110500,367098,-0.0045045045045044585
2018-12-11,109500,112500,108500,111500,372363,0.009049773755656076
2018-12-12,111500,121500,111000,118500,1558536,0.06278026905829592
2018-12-13,116500,120000,116500,118500,1093587,0.0
2018-12-14,119000,120000,115000,116500,534429,-0.016877637130801704
2018-12-17,115000,118500,112500,116500,602835,0.0
2018-12-18,117500,120000,116000,118000,889260,0.012875536480686733
2018-12-19,118500,123500,118500,123000,841175,0.04237288135593231
2018-12-20,121500,124500,120500,121500,682779,-0.012195121951219523
2018-12-21,120500,122500,119500,122500,643918,0.008230452674897082
2018-12-24,122000,124000,121500,123000,301455,0.004081632653061273
2018-12-26,121500,122000,118500,120000,550552,-0.024390243902439046
2018-12-27,118000,120000,117500,118500,458613,-0.012499999999999956
2018-12-28,118500,120000,117500,118500,398062,0.0
2019-01-02,117500,118000,113500,114000,565493,-0.03797468354430378
2019-01-03,113000,118500,113000,116500,608591,0.021929824561403466
2019-01-04,116000,123000,116000,119500,1326978,0.025751072961373467
2019-01-07,121000,121500,119500,120500,428416,0.008368200836819994
2019-01-08,121500,123500,118500,119500,582117,-0.008298755186721962
2019-01-09,119000,124000,119000,123000,846392,0.029288702928870203
2019-01-10,121500,123000,119500,123000,648837,0.0
2019-01-11,123000,124500,122000,123000,440529,0.0
2019-01-14,122500,124000,121000,121500,297709,-0.012195121951219523
2019-01-15,121000,128000,120500,127500,828015,0.04938271604938271
2019-01-16,127000,129000,126000,128500,397335,0.007843137254901933
2019-01-17,128500,130000,127500,129500,513711,0.0077821011673151474
2019-01-18,129500,131500,129500,131000,556106,0.01158301158301156
2019-01-21,132000,132000,126500,127000,657273,-0.03053435114503822
2019-01-22,126500,128000,125000,127500,446263,0.003937007874015741
2019-01-23,128000,130000,127000,129000,422209,0.0117647058823529
2019-01-24,128000,130000,124500,130000,778826,0.007751937984496138
2019-01-25,127500,130000,127500,128500,534886,-0.011538461538461497
